tarea,feature_set,k,silueta,inercia,davies_bouldin,calinski_harabasz,elegido
tiendas,desplegado,2,0.674195458315461,62.36542883391991,0.5062269657434824,128.099779798051,True
tiendas,desplegado,3,0.5801182678719672,28.051804887804337,0.5492989814089201,170.8510020845265,False
tiendas,desplegado,4,0.5077870673522381,17.91022702537117,0.5905098334084831,184.3358105716359,False
tiendas,desplegado,5,0.4494371711810253,13.254054381466515,0.653921550357612,187.38702606350927,False
tiendas,desplegado,6,0.4149275310805975,10.399195932922648,0.6702174793061205,189.80003182700145,False
tiendas,desplegado,7,0.3741806377020663,8.411131563442806,0.7551176474921041,193.32866101162705,False
tiendas,desplegado,8,0.3685289871499778,6.942964880243346,0.6745791125967164,197.86984340844944,False
tiendas,desplegado,9,0.3811409105275057,5.633820932478519,0.6517953239749905,210.0368065362397,False
tiendas,desplegado,10,0.4033784785794071,4.770060489689831,0.6521421666866022,216.49195151816124,False
tiendas,eda_validacion,2,0.6075180537561553,118.51127411861873,0.5638788109225298,90.16368970210146,True
tiendas,eda_validacion,3,0.46625153264365743,68.18675431528229,0.6660301539753456,95.66722790174349,False
tiendas,eda_validacion,4,0.39992573630420175,45.73205860838476,0.7375394887963518,101.41242630051356,False
tiendas,eda_validacion,5,0.35387763746032974,37.80602080796046,0.8018317270893075,92.73327819690255,False
tiendas,eda_validacion,6,0.3740580329414077,30.94541816568203,0.6906362929183528,90.91245658878778,False
tiendas,eda_validacion,7,0.3670835107976957,24.560992370025254,0.7469982197839956,95.50125354994863,False
tiendas,eda_validacion,8,0.3394406450239558,20.77690187603524,0.7192866323157004,95.90500751352405,False
tiendas,eda_validacion,9,0.3240833388540538,18.580313448627884,0.743114802169894,92.46268861940742,False
tiendas,eda_validacion,10,0.3151128414284411,16.53466866527673,0.7048176454277824,90.90982544074534,False
familias,desplegado,2,0.70521829208321,58.36403851408733,0.5606745293545637,39.11166643330059,False
familias,desplegado,3,0.65901295516915,29.685765665677046,0.4880137680033551,51.69863335508619,True
familias,desplegado,4,0.6602017494392384,14.567359569997988,0.4218381201823955,77.9264207331919,False
familias,desplegado,5,0.5622335031672535,9.91254136917222,0.5106871202718033,86.21524779443737,False
familias,desplegado,6,0.5163944397245113,6.494038088405459,0.4092383717963836,104.36221424888814,False
familias,desplegado,7,0.5292529987603057,3.9972157989030923,0.3969663063302024,138.7662711856338,False
familias,desplegado,8,0.5255840487146521,2.8313772922123386,0.3458268597166966,162.9300732684105,False
familias,eda_validacion,2,0.70521829208321,58.36403851408733,0.5606745293545637,39.11166643330059,True
familias,eda_validacion,3,0.65901295516915,29.685765665677046,0.4880137680033551,51.69863335508619,False
familias,eda_validacion,4,0.6602017494392384,14.567359569997988,0.4218381201823955,77.9264207331919,False
familias,eda_validacion,5,0.5622335031672535,9.91254136917222,0.5106871202718033,86.21524779443737,False
familias,eda_validacion,6,0.5163944397245113,6.494038088405459,0.4092383717963836,104.36221424888814,False
familias,eda_validacion,7,0.5292529987603057,3.9972157989030923,0.3969663063302024,138.7662711856338,False
familias,eda_validacion,8,0.5255840487146521,2.8313772922123386,0.3458268597166966,162.9300732684105,False
