estrategia,split,PR_AUC,Recall,F1,Precision,ROC_AUC,Accuracy,prevalencia,umbral,punto
sin_remuestreo,valid,0.9330068965311974,0.7897441387431753,0.8358259687287559,0.8876188184334015,0.9556045895412948,0.8918010752688172,0.3487529868578256,0.5,
sin_remuestreo,test,0.9341663284098212,0.7959271630212261,0.8376708056925781,0.8840354236476783,0.9581562581329278,0.893107825567503,0.3465128434886499,0.5,
costo_sensible,valid,0.9330548916863308,0.8833101381008457,0.8363065071964322,0.7940525454720431,0.9555690600494016,0.8794056152927121,0.3487529868578256,0.5,
costo_sensible,test,0.9339578060741048,0.8932227130697123,0.8374160311126825,0.7881726563985548,0.9581710384889272,0.8798163082437276,0.3465128434886499,0.5,
smote,valid,0.9327093174460194,0.7870677657638369,0.835739456632943,0.8908275778504786,0.9551338375828904,0.892099761051374,0.3487529868578256,0.5,
smote,test,0.933110634859381,0.7877383902596703,0.8336849307258111,0.8853233228384597,0.9573993635508528,0.8910916965352449,0.3465128434886499,0.5,
LogisticReg(balanced),valid,0.8819548721730446,0.9130714056310888,0.7771652467082782,0.6764752538071066,0.9281402923077398,0.8173909796893668,0.3487529868578256,0.5,
LogisticReg(balanced),test,0.8695808716187349,0.9284559853464066,0.7489787049109083,0.6276495010561585,0.9215426754339152,0.7843488649940262,0.3465128434886499,0.5,
Dummy(mayoritario),valid,0.3487529868578256,0.0,0.0,0.0,0.5,0.6512470131421745,0.3487529868578256,0.5,
Dummy(mayoritario),test,0.3465128434886499,0.0,0.0,0.0,0.5,0.65348715651135,0.3465128434886499,0.5,
Dummy(estratificado),valid,0.350968372520386,0.2399100738678942,0.2872892763284405,0.3579872204472843,0.5047512302493172,0.5848640979689367,0.3487529868578256,0.5,
Dummy(estratificado),test,0.3485724843893601,0.2395216032755091,0.2860819767067756,0.355111821086262,0.5044377141670353,0.585760155316607,0.3465128434886499,0.5,
sin_remuestreo,cv_fold_1,0.9266876429336705,0.8005095541401274,0.8318771511781837,0.8658032515844585,0.9530530420490052,0.8916197303294078,0.3349547704386414,0.5,
costo_sensible,cv_fold_1,0.9267269237099708,0.8881528662420383,0.8252840909090909,0.7707273933230157,0.9534634708104038,0.8740399385560675,0.3349547704386414,0.5,
smote,cv_fold_1,0.9259658482971836,0.7866242038216561,0.8293600161171177,0.8770061070870615,0.9525453922800228,0.8915770609318996,0.3349547704386414,0.5,
sin_remuestreo,cv_fold_2,0.9369710558048742,0.8151086160605321,0.8453895323080818,0.8780070987248587,0.95874505260297,0.8957586618876942,0.3496330431814303,0.5,
costo_sensible,cv_fold_2,0.9363098990145812,0.9110324627776422,0.8359462486002239,0.7722946410097248,0.9584771591747516,0.8749786653012459,0.3496330431814303,0.5,
smote,cv_fold_2,0.9349379549144388,0.8042470100073225,0.8414735363595736,0.8823135627259339,0.9572322289966284,0.8940518859873698,0.3496330431814303,0.5,
sin_remuestreo,cv_fold_3,0.9321066138927324,0.8115280177733892,0.838808445493398,0.8679867986798679,0.9562639329506148,0.8921744324970131,0.3457074586106844,0.5,
costo_sensible,cv_fold_3,0.9317176065086696,0.9023697852382128,0.8276447614195959,0.7643491897543127,0.9560580990055156,0.8700716845878136,0.3457074586106844,0.5,
smote,cv_fold_3,0.9304880642074376,0.8154776598370773,0.838185854741516,0.8621949628082997,0.9549168040314991,0.8911503669568186,0.3457074586106844,0.5,
sin_remuestreo,op_valid,0.9331612238697081,0.8657531313563859,0.8423080929069888,0.8200993814014805,0.9556652824321796,0.88694743130227,0.3487529868578256,0.31849113885246816,max recall s.t. precision >= 0.80 (DEFAULT)
sin_remuestreo,op_test,0.9343492781073578,0.8741514922960888,0.8402900051786639,0.8089540333034201,0.9582268664974901,0.8848566308243727,0.3465128434886499,0.31849113885246816,max recall s.t. precision >= 0.80 (DEFAULT)
sin_remuestreo,op_valid,0.9331612238697081,0.8347072047960604,0.8451116410145242,0.8557787290088904,0.9556652824321796,0.893294504181601,0.3487529868578256,0.402170659648289,max F1
sin_remuestreo,op_test,0.9343492781073578,0.8387027259993535,0.8434740206967546,0.8482999128160419,0.9582268664974901,0.8921370967741935,0.3465128434886499,0.402170659648289,max F1
sin_remuestreo,op_valid,0.9331612238697081,0.9933625950112408,0.665280516221545,0.5001077934677158,0.9556652824321796,0.6513963560334528,0.3487529868578256,0.017360838999094883,max recall s.t. precision >= 0.50 (referencia)
sin_remuestreo,op_test,0.9343492781073578,0.995905613619222,0.6493834966803668,0.4817575315334098,0.9582268664974901,0.6273521505376344,0.3465128434886499,0.017360838999094883,max recall s.t. precision >= 0.50 (referencia)
