feature,importancia,importancia_pct
sales_rmean_7,286.98943606196167,29.37740282319255
sales_lag_1,249.0784742611091,25.49668299071114
sales_ewm_7,89.6709888395904,9.179086160251206
sales_rmed_7,47.130344100588,4.824453202311318
onpromotion,44.24113059451608,4.5287015879844486
sales_lag_7,35.67730194867273,3.6520733493637816
sales_rmed_28,35.18207552052548,3.6013799633353445
sales_rmean_14,34.47461481902743,3.528961416176698
sales_rmean_28,28.808149652960783,2.9489190562509893
family,27.686634767625407,2.834116243259676
sales_ewm_28,17.420533390617035,1.783236462754471
sales_rstd_7,16.576762607060935,1.6968646626662736
dias_desde_venta,12.029851448336593,1.231424392306375
sales_lag_14,7.492267781506581,0.7669389218529465
sales_rmean_56,7.394090159510642,0.7568890622163881
